"StrategyName"	"UD_EffectsL"	"UD_EffectsQ"	"UD_Costs"	"D_EffectsL"	"D_EffectsQ"	"D_Costs"	"ICER_L"	"ICER_Q"
"85_95_1"	7980851.49246464	7958261.14325953	121384800	1936555.22485996	1935665.42714129	5476789.67	"SD"	"SD"
"85_95_2"	7980773.72135356	7958365.617704	107442800	1936554.34303691	1935666.89084986	5291384.06	"SD"	"SD"
"85_95_5"	7980627.50930529	7958382.40167986	99110800	1936552.83794963	1935667.32480622	5180466.16	"SD"	"SD"
"85_95_10"	7980555.08738886	7958377.78472165	96478400	1936552.13461443	1935667.37561872	5145902.85	"SD"	"SD"
"85_100_1"	7980851.49246464	7958239.29225953	123581900	1936555.22485996	1935665.23483489	5496129.91	"SD"	"SD"
"85_100_3"	7980697.98179299	7958370.19292371	103574300	1936553.56625991	1935667.08781807	5237215.29	"SD"	"SD"
"85_100_5"	7980627.50930529	7958382.40167986	99110800	1936552.83794963	1935667.32480622	5180466.16	"SD"	"SD"
"90_95_1"	7980341.41219445	7958222.23012444	101929100	1936549.43955802	1935665.75513862	5183632.34	"SD"	"SD"
"90_95_5"	7980308.76112022	7958283.66658733	94428900	1936549.13640571	1935666.47334966	5099416.82	"SD"	"SD"
"90_100_1"	7980341.41219445	7958200.37912444	104126200	1936549.43955802	1935665.56283222	5202972.58	"SD"	"SD"
"90_100_2"	7980334.08146993	7958256.58676218	98228900	1936549.3740745	1935666.17154606	5139727.72	"SD"	"SD"
"90_100_5"	7980308.76112022	7958283.66658733	94428900	1936549.13640571	1935666.47334966	5099416.82	"SD"	"SD"
"90_100_10"	7980303.25196135	7958294.01400789	93218700	1936549.09030699	1935666.5785867	5087411.88	"ED"	"ED"
"95_100_1"	7980206.39673113	7958244.49339278	93967000	1936548.13767775	1935666.21881368	5082791.62	"SD"	"SD"
"95_100_5"	7980206.39673113	7958266.64739278	91736600	1936548.13767775	1935666.41390768	5063145.02	"ED"	"SD"
